p,g,output1,output2,output3
1,1,29430,29453,29525
2,1,15236,15176,15319
4,1,13311,13499,13325
8,1,8491,8592,8593
12,1,5959,6000,5957
16,1,4660,4717,4839
24,1,3450,3360,3374
32,1,3350,3197,3073
1,4,29460,29493,29460
2,4,15164,15112,15169
4,4,8141,8364,8182
8,4,4707,4644,4578
12,4,3311,3263,3334
16,4,2673,2650,2779
24,4,2497,2494,2500
32,4,2470,2455,2518
1,16,29347,29331,29480
2,16,15136,15356,15090
4,16,7810,7881,7749
8,16,4179,4195,4191
12,16,3054,3033,2992
16,16,2490,2489,2471
24,16,2453,2431,2428
32,16,2375,2405,2359
